Date,Sonar snowDepth
10/1/2006,0
10/2/2006,0
10/3/2006,0
10/4/2006,0
10/5/2006,0
10/6/2006,0
10/7/2006,0
10/8/2006,0
10/9/2006,0
10/10/2006,0.05
10/11/2006,0.05
10/12/2006,0
10/13/2006,0
10/14/2006,0
10/15/2006,0
10/16/2006,0
10/17/2006,0.13
10/18/2006,0.22
10/19/2006,0.2
10/20/2006,0.16
10/21/2006,0.2
10/22/2006,0.17
10/23/2006,0.17
10/24/2006,0.15
10/25/2006,0.15
10/26/2006,0.34
10/27/2006,0.29
10/28/2006,0.26
10/29/2006,0.24
10/30/2006,0.22
10/31/2006,0.24
11/1/2006,0.23
11/2/2006,0.23
11/3/2006,0.23
11/4/2006,0.22
11/5/2006,0.23
11/6/2006,0.24
11/7/2006,0.24
11/8/2006,0.21
11/9/2006,0.21
11/10/2006,0.2
11/11/2006,0.2
11/12/2006,0.61
11/13/2006,0.59
11/14/2006,0.64
11/15/2006,0.6
11/16/2006,0.56
11/17/2006,0.53
11/18/2006,0.5
11/19/2006,0.49
11/20/2006,0.49
11/21/2006,0.48
11/22/2006,0.47
11/23/2006,0.48
11/24/2006,0.47
11/25/2006,0.56
11/26/2006,0.55
11/27/2006,0.54
11/28/2006,0.85
11/29/2006,0.85
11/30/2006,0.79
12/1/2006,0.74
12/2/2006,0.72
12/3/2006,0.71
12/4/2006,0.7
12/5/2006,0.69
12/6/2006,0.68
12/7/2006,0.67
12/8/2006,0.65
12/9/2006,0.66
12/10/2006,0.67
12/11/2006,0.81
12/12/2006,0.93
12/13/2006,0.89
12/14/2006,0.86
12/15/2006,0.83
12/16/2006,0.81
12/17/2006,0.98
12/18/2006,1.04
12/19/2006,1.25
12/20/2006,1.26
12/21/2006,1.22
12/22/2006,1.15
12/23/2006,1.11
12/24/2006,1.13
12/25/2006,1.1
12/26/2006,1.08
12/27/2006,1.05
12/28/2006,1.07
12/29/2006,1.07
12/30/2006,1.04
12/31/2006,1.03
1/1/2007,1.02
1/2/2007,1.01
1/3/2007,1.01
1/4/2007,1
1/5/2007,1.17
1/6/2007,1.13
1/7/2007,1.1
1/8/2007,1.07
1/9/2007,1.07
1/10/2007,1.07
1/11/2007,1.05
1/12/2007,1.33
1/13/2007,1.51
1/14/2007,1.46
1/15/2007,1.41
1/16/2007,1.36
1/17/2007,1.33
1/18/2007,1.3
1/19/2007,1.28
1/20/2007,1.28
1/21/2007,1.34
1/22/2007,1.31
1/23/2007,1.29
1/24/2007,1.26
1/25/2007,1.26
1/26/2007,1.25
1/27/2007,1.24
1/28/2007,1.24
1/29/2007,1.24
1/30/2007,1.23
1/31/2007,1.44
2/1/2007,1.54
2/2/2007,1.52
2/3/2007,1.48
2/4/2007,1.46
2/5/2007,1.43
2/6/2007,1.41
2/7/2007,1.39
2/8/2007,1.38
2/9/2007,1.36
2/10/2007,1.37
2/11/2007,1.61
2/12/2007,1.67
2/13/2007,1.64
2/14/2007,1.78
2/15/2007,1.76
2/16/2007,1.74
2/17/2007,1.7
2/18/2007,1.66
2/19/2007,1.72
2/20/2007,1.74
2/21/2007,1.67
2/22/2007,1.64
2/23/2007,1.61
2/24/2007,1.75
2/25/2007,1.71
2/26/2007,1.78
2/27/2007,1.72
2/28/2007,1.87
3/1/2007,1.89
3/2/2007,1.86
3/3/2007,1.86
3/4/2007,1.81
3/5/2007,1.78
3/6/2007,1.75
3/7/2007,1.72
3/8/2007,1.83
3/9/2007,1.79
3/10/2007,1.76
3/11/2007,1.83
3/12/2007,1.77
3/13/2007,1.71
3/14/2007,1.66
3/15/2007,1.62
3/16/2007,1.59
3/17/2007,1.56
3/18/2007,1.54
3/19/2007,1.52
3/20/2007,1.5
3/21/2007,1.54
3/22/2007,1.61
3/23/2007,1.57
3/24/2007,1.58
3/25/2007,1.58
3/26/2007,1.54
3/27/2007,1.52
3/28/2007,1.58
3/29/2007,1.58
3/30/2007,1.69
3/31/2007,1.7
4/1/2007,1.62
4/2/2007,1.59
4/3/2007,1.55
4/4/2007,1.54
4/5/2007,1.5
4/6/2007,1.19
4/7/2007,1.48
4/8/2007,1.67
4/9/2007,1.78
4/10/2007,1.77
4/11/2007,1.73
4/12/2007,1.93
4/13/2007,1.95
4/14/2007,1.86
4/15/2007,1.78
4/16/2007,1.78
4/17/2007,1.75
4/18/2007,1.72
4/19/2007,1.7
4/20/2007,1.69
4/21/2007,1.77
4/22/2007,1.75
4/23/2007,1.88
4/24/2007,2.05
4/25/2007,2
4/26/2007,1.88
4/27/2007,1.81
4/28/2007,1.73
4/29/2007,1.67
4/30/2007,1.63
5/1/2007,1.56
5/2/2007,1.61
5/3/2007,1.57
5/4/2007,1.6
5/5/2007,1.82
5/6/2007,1.73
5/7/2007,1.67
5/8/2007,1.6
5/9/2007,1.58
5/10/2007,1.53
5/11/2007,1.44
5/12/2007,1.39
5/13/2007,1.32
5/14/2007,1.26
5/15/2007,1.19
5/16/2007,1.13
5/17/2007,1.11
5/18/2007,1.04
5/19/2007,0.96
5/20/2007,0.91
5/21/2007,0.88
5/22/2007,0.96
5/23/2007,1.03
5/24/2007,0.98
5/25/2007,0.89
5/26/2007,0.83
5/27/2007,0.77
5/28/2007,0.7
5/29/2007,0.63
5/30/2007,0.57
5/31/2007,0.49
6/1/2007,0.41
6/2/2007,0.3
6/3/2007,0.22
6/4/2007,0.16
6/5/2007,0.04
6/6/2007,0
6/7/2007,0
6/8/2007,0
6/9/2007,0
6/10/2007,0
6/11/2007,0
6/12/2007,0
6/13/2007,0
6/14/2007,0
6/15/2007,0
6/16/2007,0
6/17/2007,0
6/18/2007,0
6/19/2007,0
6/20/2007,0
6/21/2007,0
6/22/2007,0
6/23/2007,0
6/24/2007,0
6/25/2007,0
6/26/2007,0
6/27/2007,0
6/28/2007,0
6/29/2007,0
6/30/2007,0
7/1/2007,0
7/2/2007,0
7/3/2007,0
7/4/2007,0
7/5/2007,0
7/6/2007,0
7/7/2007,0
7/8/2007,0
7/9/2007,0
7/10/2007,0
7/11/2007,0
7/12/2007,0
7/13/2007,0
7/14/2007,0
7/15/2007,0
7/16/2007,0
7/17/2007,0
7/18/2007,0
7/19/2007,0
7/20/2007,0
7/21/2007,0
7/22/2007,0
7/23/2007,0
7/24/2007,0
7/25/2007,0
7/26/2007,0
7/27/2007,0
7/28/2007,0
7/29/2007,0
7/30/2007,0
7/31/2007,0
8/1/2007,0
8/2/2007,0
8/3/2007,0
8/4/2007,0
8/5/2007,0
8/6/2007,0
8/7/2007,0
8/8/2007,0
8/9/2007,0
8/10/2007,0
8/11/2007,0
8/12/2007,0
8/13/2007,0
8/14/2007,0
8/15/2007,0
8/16/2007,0
8/17/2007,0
8/18/2007,0
8/19/2007,0
8/20/2007,0
8/21/2007,0
8/22/2007,0
8/23/2007,0
8/24/2007,0
8/25/2007,0
8/26/2007,0
8/27/2007,0
8/28/2007,0
8/29/2007,0
8/30/2007,0
8/31/2007,0
9/1/2007,0
9/2/2007,0
9/3/2007,0
9/4/2007,0
9/5/2007,0
9/6/2007,0
9/7/2007,0
9/8/2007,0
9/9/2007,0
9/10/2007,0
9/11/2007,0
9/12/2007,0
9/13/2007,0
9/14/2007,0
9/15/2007,0
9/16/2007,0
9/17/2007,0
9/18/2007,0
9/19/2007,0
9/20/2007,0
9/21/2007,0
9/22/2007,0
9/23/2007,0
9/24/2007,0
9/25/2007,0
9/26/2007,0
9/27/2007,0
9/28/2007,0
9/29/2007,0
9/30/2007,0
10/1/2007,0.04
10/2/2007,0.03
10/3/2007,0
10/4/2007,0
10/5/2007,0
10/6/2007,0
10/7/2007,0
10/8/2007,0
10/9/2007,0
10/10/2007,0
10/11/2007,0
10/12/2007,0
10/13/2007,0.06
10/14/2007,0.14
10/15/2007,0.1
10/16/2007,0.09
10/17/2007,0.26
10/18/2007,0.33
10/19/2007,0.25
10/20/2007,0.16
10/21/2007,0.37
10/22/2007,0.33
10/23/2007,0.23
10/24/2007,0.19
10/25/2007,0.16
10/26/2007,0.15
10/27/2007,0.12
10/28/2007,0.12
10/29/2007,0.12
10/30/2007,0.12
10/31/2007,0.11
11/1/2007,0.12
11/2/2007,0.11
11/3/2007,0.11
11/4/2007,0.11
11/5/2007,0.1
11/6/2007,0.11
11/7/2007,0.1
11/8/2007,0.1
11/9/2007,0.09
11/10/2007,0.09
11/11/2007,0.09
11/12/2007,0.07
11/13/2007,0.06
11/14/2007,0.03
11/15/2007,0.03
11/16/2007,0.02
11/17/2007,0.03
11/18/2007,0.02
11/19/2007,0.02
11/20/2007,0.03
11/21/2007,0.07
11/22/2007,0.04
11/23/2007,0.17
11/24/2007,0.21
11/25/2007,0.17
11/26/2007,0.14
11/27/2007,0.14
11/28/2007,0.12
11/29/2007,0.12
11/30/2007,0.17
12/1/2007,0.79
12/2/2007,0.8
12/3/2007,0.73
12/4/2007,0.69
12/5/2007,0.65
12/6/2007,0.66
12/7/2007,0.86
12/8/2007,1.03
12/9/2007,1.07
12/10/2007,1.12
12/11/2007,1.23
12/12/2007,1.17
12/13/2007,1.1
12/14/2007,1.06
12/15/2007,1.02
12/16/2007,1
12/17/2007,0.99
12/18/2007,0.96
12/19/2007,0.97
12/20/2007,0.99
12/21/2007,1.04
12/22/2007,1.03
12/23/2007,1.1
12/24/2007,1.05
12/25/2007,1.21
12/26/2007,1.14
12/27/2007,1.12
12/28/2007,1.09
12/29/2007,1.08
12/30/2007,1.1
12/31/2007,1.19
1/1/2008,1.14
1/2/2008,1.11
1/3/2008,1.09
1/4/2008,1.12
1/5/2008,1.23
1/6/2008,1.66
1/7/2008,1.66
1/8/2008,1.67
1/9/2008,1.7
1/10/2008,1.78
1/11/2008,1.74
1/12/2008,1.77
1/13/2008,1.69
1/14/2008,1.63
1/15/2008,1.58
1/16/2008,1.58
1/17/2008,1.54
1/18/2008,1.54
1/19/2008,1.54
